what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772054271
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1554772056214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1554772059235
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1554772066676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772083053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772089649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772134126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772135554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772135668
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1554772140802
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1554772140941
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1554772141224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772141525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772179225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772182697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772182751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772184032
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772214404
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772217837
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772217891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772222393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772222577
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772222637
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772226744
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1554772232830
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772232963
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772246996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1554772247026
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772249582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772252074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772273820
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554772275227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772284765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772325732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554772347322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772352841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772352946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772357057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772357155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772360664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772360771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772365098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772370235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772380100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554772415597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772422425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772422531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772427107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772463940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554772470871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772477247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772478661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772500526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772510044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1554772515373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772519133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554772568884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772575401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772575512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772578304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772578409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772581887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772581978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772596245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772607347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554772624579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772630080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772635285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772636299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1554772655028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554772677042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772704256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772726624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772726745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1554772741444
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1554772756710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554772761181
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1554772763024
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1554772763102
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1554772763109
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1554772763207
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1554772763217
started,bundle,com.android.ide.eclipse.ndk,23.0.7.2120684,"com.android.ide.eclipse.ndk",1554772763294
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554772763878
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1554772777394
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1554772777408
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1554772777437
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1554772777484
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1554772777497
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1554772777577
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1554772777579
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1554772777645
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1554772792503
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1554772795402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772807960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772809137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772809183
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772810985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772811193
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772811260
error,log,,,"layout_window.xml: Dimension ""0"" in attribute ""layout_width"" is missing unit!",1554772811561
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1554772829148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1554772838790
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554772846881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772867623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772909484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772911707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772923381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554772962765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554772975390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554772979173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773023777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773023915
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1554773036742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1554773055127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773059362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773108531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554773116423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554773119800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773125459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773125580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773129785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773129890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1554773210977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554773213021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1554773257979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773271726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773271825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1554773285661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773296808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773296924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554773314488
