what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1545179531424
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1545179531459
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1545179531465
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1545179531553
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1545179532214
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545179589574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545179589733
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1545179589848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545179618717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545180124047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545180125856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545180234257
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1545180235626
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1545180235826
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1545180235887
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1545180235978
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1545180236056
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1545180236172
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1545180236191
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1545180236302
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1545180236311
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1545180236337
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1545180236347
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1545180236349
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1545180236417
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1545180236422
started,bundle,com.android.ide.eclipse.ndk,23.0.7.2120684,"com.android.ide.eclipse.ndk",1545180236606
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545180239196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545180245178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545180247251
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1545180247299
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545180252479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1545180405251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545180408606
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545180417371
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545180433884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545180487306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545180604851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545180619484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181084163
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181109544
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181109811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181125457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181126818
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181126904
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181127087
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181160661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181215291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1545181215371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181218946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181220571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181220669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181235396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1545181235444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181260639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181260769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181261904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181270232
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181270383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181285989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181329887
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181357213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181401321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181404525
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181413580
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181430672
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181475832
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181483827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181491910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181548608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181574812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181889921
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1545181892782
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1545181917689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181953092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545181995417
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181995892
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545181995986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182023359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182031039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182038778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182038860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182045960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182046150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182056508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182086785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1545182097007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182100596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182100692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1545182108341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1545182110076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1545182111067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182159787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182166394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1545182172338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545182187719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182212136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182221960
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1545182257464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182262698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182262834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182298403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182298513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1545182318062
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545182322068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182334369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182475486
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545182494629
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545182508853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182514144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182514255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545182514329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182540816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1545182540945
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1545182568517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1545182568917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1545182570545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1545182574627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1545182578559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1545182588262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1545182595975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1545182602618
