what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1543993079416
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1543993079416
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1543993079416
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1543993079416
started,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1543993079416
started,bundle,com.android.ide.eclipse.base,23.0.7.2120684,"com.android.ide.eclipse.base",1543993079416
os,sysinfo,,,"win32",1543993079424
arch,sysinfo,,,"x86_64",1543993079424
ws,sysinfo,,,"win32",1543993079424
locale,sysinfo,,,"zh_CN",1543993079424
processors,sysinfo,,,"2",1543993079424
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1543993079424
java.runtime.version,sysinfo,,,"1.8.0_192-b12",1543993079424
java.specification.name,sysinfo,,,"Java Platform API Specification",1543993079424
java.specification.vendor,sysinfo,,,"Oracle Corporation",1543993079424
java.specification.version,sysinfo,,,"1.8",1543993079424
java.vendor,sysinfo,,,"Oracle Corporation",1543993079424
java.version,sysinfo,,,"1.8.0_192",1543993079424
java.vm.info,sysinfo,,,"mixed mode",1543993079424
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1543993079424
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1543993079424
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1543993079424
java.vm.specification.version,sysinfo,,,"1.8",1543993079424
java.vm.vendor,sysinfo,,,"Oracle Corporation",1543993079424
java.vm.version,sysinfo,,,"25.192-b12",1543993079424
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1543993081006
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1543993116746
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1543993136648
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1543993136687
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1543993140912
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1543993141423
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1543993141430
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1543993142439
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1543993142918
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1543993142918
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1543993143474
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1543993145205
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1543993146142
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1543993158169
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1543993158222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543993222536
error,log,,,"LayoutLibrary initialization failed",1543993224838
