what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552965389588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552965390603
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552965557587
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1552965615618
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1552965615716
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1552965616906
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1552965619231
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552965634126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1552965737754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552965743488
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1552965767572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1552965807550
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1552965854607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552965857249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552965857872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552965859477
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552965865575
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552965868186
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552965869639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552965993309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552965994793
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552965996195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966002737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966007198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552966007265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966274896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966290164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966295170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966382098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966386863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966393572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552966393620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966415496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966420717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1552966484713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552966487837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552966523654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966524264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966525708
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552966528117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552966570600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552971467844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552971507467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552971740239
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1552971742387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552971760959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552971791365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552971835301
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1552971837474
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552971852837
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552971852951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552971865722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552971874319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552971877690
